KEY;FTHG (Full Time Home Team Goals9;FTAG (Full Time Away Team Goals);FTR (Full Time Result);HTHG (Half Time Home Team Goals);HTAG (Half Time Away Team Goals);HTR (Half Time Result)
11.03.19_Fortuna Düsseldorf_Eintracht Frankfurt;0;3;Away Win;0;0;Draw
15.03.19_Borussia Mönchengladbach_SC Freiburg;1;1;Draw;1;1;Draw
16.03.19_FC Augsburg_Hannover 96;3;1;Home Win;0;1;Away Win
16.03.19_Hertha BSC Berlin_Borussia Dortmund;2;3;Away Win;2;1;Home Win
16.03.19_FC Schalke 04_RB Leipzig;0;1;Away Win;0;1;Away Win
16.03.19_VfB Stuttgart_1899 Hoffenheim;1;1;Draw;0;1;Away Win
16.03.19_VfL Wolfsburg_Fortuna Düsseldorf;5;2;Home Win;1;1;Draw
17.03.19_FC Bayern München_FSV Mainz 05;6;0;Home Win;3;0;Home Win
17.03.19_Eintracht Frankfurt_1. FC Nürnberg;1;0;Home Win;1;0;Home Win
17.03.19_Bayer 04 Leverkusen_Werder Bremen;1;3;Away Win;0;2;Away Win
29.03.19_1899 Hoffenheim_Bayer 04 Leverkusen;4;1;Home Win;1;1;Draw
30.03.19_Borussia Dortmund_VfL Wolfsburg;2;0;Home Win;0;0;Draw
30.03.19_Fortuna Düsseldorf_Borussia Mönchengladbach;3;1;Home Win;3;0;Home Win
30.03.19_SC Freiburg_FC Bayern München;1;1;Draw;1;1;Draw
30.03.19_1. FC Nürnberg_FC Augsburg;3;0;Home Win;0;0;Draw
30.03.19_RB Leipzig_Hertha BSC Berlin;5;0;Home Win;2;0;Home Win
30.03.19_Werder Bremen_FSV Mainz 05;3;1;Home Win;2;0;Home Win
31.03.19_Eintracht Frankfurt_VfB Stuttgart;3;0;Home Win;1;0;Home Win
31.03.19_Hannover 96_FC Schalke 04;0;1;Away Win;0;1;Away Win
05.04.19_FSV Mainz 05_SC Freiburg;5;0;Home Win;3;0;Home Win
06.04.19_FC Bayern München_Borussia Dortmund;5;0;Home Win;4;0;Home Win
06.04.19_Hertha BSC Berlin_Fortuna Düsseldorf;1;2;Away Win;1;1;Draw
06.04.19_Bayer 04 Leverkusen_RB Leipzig;2;4;Away Win;2;1;Home Win
06.04.19_FC Schalke 04_Eintracht Frankfurt;1;2;Away Win;1;1;Draw
